%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.name,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses0.pose_updated,field.poses1.name,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses1.pose_updated,field.poses2.name,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w,field.poses2.pose_updated
1448859421969467795,25276,1448859421969064684,,sensor,-0.879762573242,0.0120963376164,0.212464141846,-0.000254179901208,-0.00917438013072,0.00699842397665,0.999933391883,1,emitter,0.85965445693,0.164697466426,0.191833527649,0.00466755894771,-0.0396924811332,0.421228302576,0.906073638257,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421979479368,25277,1448859421979080795,,sensor,-0.879561309814,0.0121522071362,0.212294311523,-0.000379807195658,-0.00685229044404,0.00708206676379,0.999951371914,1,emitter,0.85924276387,0.164580475276,0.191292652624,0.00767118507592,-0.0375615488142,0.420837649687,0.906325524067,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421989322557,25278,1448859421988916009,,sensor,-0.879698074341,0.0120769732594,0.212299846649,0.000695042380628,-0.00860594007718,0.00736325124115,0.999935616549,1,emitter,0.859838651443,0.164854065293,0.191832945146,0.00598785490437,-0.0416326489951,0.423161989144,0.905077233762,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421999439317,25279,1448859421999038121,,sensor,-0.879641998291,0.0121885666847,0.212339183807,-0.000435517091657,-0.00680921465998,0.0069764344483,0.999952386008,1,emitter,0.859680249481,0.164614065423,0.191214793023,0.0100543197433,-0.041320583071,0.42559967501,0.903911741654,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422009471510,25280,1448859422009075553,,sensor,-0.879582260132,0.0121419963837,0.212281387329,-0.000212494325338,-0.00652893483617,0.007064139906,0.99995371182,1,emitter,0.860009139243,0.164640528778,0.191734766579,0.00592601398583,-0.0429219186891,0.426453781884,0.903470953142,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422019444137,25281,1448859422019038350,,sensor,-0.879606781006,0.0121492875814,0.212305961609,-0.000296030075266,-0.00716445644006,0.00713749380452,0.999948818246,1,emitter,0.86011434965,0.164557106838,0.191536647049,0.0024458834691,-0.0412076051821,0.425648604804,0.903946467529,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422029353656,25282,1448859422028955831,,sensor,-0.879588134766,0.0121537421942,0.212311344147,-0.000213316165024,-0.00680448508989,0.0069952119817,0.999952359109,1,emitter,0.859971373444,0.164599616864,0.191170297852,-0.00494211020572,-0.0384193195697,0.425906097157,0.903937789804,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422039388831,25283,1448859422038967011,,sensor,-0.879606063843,0.0121247270107,0.212314670563,-0.000201014575643,-0.00673557569819,0.00712255104485,0.999951929284,1,emitter,0.860321429558,0.164678477939,0.19165366668,0.00253066765605,-0.0403301970125,0.425391328744,0.904106900958,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422049466457,25284,1448859422049069013,,sensor,-0.879889160156,0.012029266417,0.212600795746,0.000734442686018,-0.00845218674386,0.00785265419051,0.999933176245,1,emitter,0.860203947164,0.164719074433,0.191754980688,0.00575397249695,-0.0420249396479,0.426644664323,0.903424112282,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422059449721,25285,1448859422059059934,,sensor,-0.879756072998,0.0120958125591,0.212442325592,0.000136396438394,-0.00931502919515,0.00719947160252,0.999930687216,1,emitter,0.859903048347,0.164420432024,0.191430289647,0.00410449621269,-0.0435548675283,0.425910670375,0.903706936725,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859422069463403,25286,1448859422069093638,,sensor,-0.879517669678,0.0121362696886,0.212129867554,0.000355662286766,-0.00685519553649,0.00757787147942,0.999947726465,1,emitter,0.860033922407,0.164533989539,0.191516084145,0.000317337398756,-0.0398512955683,0.425400595469,0.904127262565,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
